ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
30/06/2026,Công ty Cổ phần Thủy điện Hương Điền,,Doanh nghiệp,Xếp hạng lần đầu,Tổ chức phát hành,,A+,Ổn định,,https://tmr.vn/wp-content/uploads/2026/07/Huong-Dien_XHTN-lan-dau_Tochucphathanh.pdf,,,,TMR,2026-09-22 13:36:50,2026-06-30
29/06/2026,Công ty Cổ phần Thủy điện Sông Quang,,Doanh nghiệp,Cập nhật kết quả XHTN,Tổ chức phát hành,,A-,Ổn định,,https://tmr.vn/wp-content/uploads/2026/06/Song-Quang_Cap-nhat-XHTN_Tochucphathanh.pdf,,,,TMR,2026-09-22 13:36:50,2026-06-29
29/06/2026,Công ty Cổ phần Phát triển điện Nậm Chiến,,Doanh nghiệp,Cập nhật kết quả XHTN,Tổ chức phát hành,,A,Ổn định,,https://tmr.vn/wp-content/uploads/2026/06/Nam-Chien_Cap-nhat-XHTN_Tochucphathanh.pdf,,,,TMR,2026-09-22 13:36:50,2026-06-29
25/06/2026,Công ty Cổ phần Bất động sản Bcons PS,,Doanh nghiệp,Xếp hạng lần đầu,Công cụ nợ,,BBB-,Ổn định,BPS12602,https://tmr.vn/wp-content/uploads/2026/06/Bcons-PS_XHTN-lan-dau_Congcuno.pdf,,,,TMR,2026-09-22 13:36:50,2026-06-25
12/06/2026,Công ty Tài chính Tín dụng Tiêu dùng TNHH MB Shinsei,,Định chế Tài chính,Xếp hạng lần đầu,Tổ chức phát hành,,A-,Ổn định,,https://tmr.vn/wp-content/uploads/2026/06/MCredit_Cap-nhat-XHTN_Tochucphathanh.pdf,,,,TMR,2026-09-22 13:36:50,2026-06-12
27/05/2026,Công ty TNHH Miza Nghi Sơn,,Doanh nghiệp,Cập nhật kết quả XHTN,Tổ chức phát hành,,BBB-,Ổn định,,https://tmr.vn/wp-content/uploads/2026/05/MZN_Cap-nhat-XHTN_Tochucphathanh.pdf,,,,TMR,2026-09-22 13:36:50,2026-05-27
15/04/2026,Công ty Cổ phần Bất động sản Bcons PS,,Doanh nghiệp,Xếp hạng lần đầu,Công cụ nợ,,BBB-,Ổn định,BPS12601,https://tmr.vn/wp-content/uploads/2026/04/BconsPS_XHTN-PH-trai-phieu_da-ky.pdf,,,,TMR,2026-09-22 13:36:50,2026-04-15
01/04/2026,Công ty Cổ phần Bất động sản Bcons PS,,Doanh nghiệp,Xếp hạng lần đầu,Tổ chức phát hành,,BB+,Ổn định,,https://tmr.vn/wp-content/uploads/2026/04/RN0004-01-202604-BconsPS-da-ky.pdf,,,,TMR,2026-09-22 13:36:50,2026-04-01
25/12/2025,Công ty Cổ phần Phát triển điện Nậm Chiến,,Doanh nghiệp,Xếp hạng lần đầu,Tổ chức phát hành,,A,Ổn định,,https://tmr.vn/wp-content/uploads/2025/12/RN0002-01-202512-Nam-Chien-da-ky.pdf,,,,TMR,2026-09-22 13:36:50,2025-12-25
25/12/2025,Công ty Cổ phần Thủy điện Sông Quang,,Doanh nghiệp,Xếp hạng lần đầu,Tổ chức phát hành,,A-,Ổn định,,https://tmr.vn/wp-content/uploads/2025/12/RN0003-01-202512-Song-Quang-Da-ky.pdf,,,,TMR,2026-09-22 13:36:50,2025-12-25
04/11/2025,Công ty TNHH Miza Nghi Sơn,,Doanh nghiệp,Xếp hạng lần đầu,Tổ chức phát hành,,BBB-,Ổn định,,https://tmr.vn/wp-content/uploads/2025/11/RN0001-01-202511-BCMZNS.pdf,,,,TMR,2026-09-22 13:36:50,2025-11-04
