ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,bao_mat,phi_tren_5pc,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
16/05/2025,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,Tổng Công ty Đầu tư,,Giám sát Xếp hạng,Tổ chức phát hành,,vnA-,Ổn định,,https://saigonratings.com/giam-sat-thuong-nien-ipa-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-05-16
12/05/2025,Công ty Cổ phần Tư Vấn và Kinh Doanh Bất động sản TCO,Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBB-,Ổn định,,https://saigonratings.com/gsxh6t-tco-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-05-12
24/04/2025,Công ty Cổ phần Thành Thành Công - Biên Hòa (SBT),Sản xuất đường,,Xếp hạng lần đầu,Tổ chức phát hành,,vnA+,Ổn định,,https://saigonratings.com/xhtn-sbt-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-04-24
10/04/2025,Công ty Cổ phần Đầu tư Năm Bảy Bảy,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/gsxh6t-nam_bay_bay-2025/,,,,True,False,Saigon Ratings,2026-09-25 09:03:37,2025-04-10
08/04/2025,Công ty Cổ phần AAC Việt Nam,Phát triển Bất động sản,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/xhtn-aac-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-04-08
03/04/2025,Công ty Cổ phần Đầu tư Phát triển Bất động sản Thành Vinh,Phát triển Bất động sản,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/?p=7530&preview=true,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-04-03
31/03/2025,Công ty Cổ phần Năng lượng Bắc Hà,Sản xuất điện,,Xếp hạng lần đầu,Tổ chức phát hành,,vnA-,Ổn định,,https://saigonratings.com/kqxh-bacha-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-31
31/03/2025,Công ty Cổ phần Dịch vụ Cao ốc Masterise Lumiere Office,Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/gsxh6t-mlo-2025/,,,,True,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-31
27/03/2025,Công ty TNHH Phát triển Bất động sản Nhà Sài Gòn,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnB-,Ổn định,,https://saigonratings.com/gsxh6t-nha_sai_gon-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-27
27/03/2025,Công ty Cổ phần Đầu tư và Phát triển Residence,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnB,Ổn định,,https://saigonratings.com/gsxh6t-residence-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-27
17/03/2025,Công ty TNHH Allgreen-Vượng Thành-Trùng Dương,Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBB+,Ổn định,,https://saigonratings.com/gsxh6t-avt-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-17
17/03/2025,Công ty Cổ phần Sản xuất và Kinh doanh VinFast,Sản xuất ôtô,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/gsxh6t-vinfast-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-17
17/03/2025,Công ty Cổ Phần Đầu Tư Xây Dựng NEW TECH,Phát triển Bất động sản,,Xếp hạng lần đầu,Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/kqxh-newtech-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-17
10/03/2025,Công ty Cổ phần Sunshine Sky Villa,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/gsxh6t-skyvilla-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-10
05/03/2025,Công ty Cổ phần Đầu tư và Xây dựng Xa lộ Hà Nội,Hạ tầng vận tải,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnA+,Ổn định,,https://saigonratings.com/gsxh-xlhn-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-03-05
20/02/2025,Công ty Cổ phần Đầu tư Thành Thành Công (TTCI),Tổng công ty đầu tư,,Giám sát Xếp hạng,Tổ chức phát hành,,vnA+,Ổn định,,https://saigonratings.com/gsxh6t-ttci-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-02-20
10/02/2025,Công ty Cổ phần Đầu tư Hoàng Đông Dương,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/gsxh6t-hoang-dong-duong-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-02-10
03/02/2025,Công ty Cổ phần Đầu tư Hạ tầng Kỹ thuật TPHCM (CII),Hạ tầng vận tải,,Giám sát Xếp hạng,Tổ chức phát hành,,vnA+,Ổn định,,https://saigonratings.com/?p=7300&preview=true,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-02-03
24/01/2025,Công ty TNHH Công nghiệp - Bất động sản và Xây dựng Song Phương,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/gsxh6t-song-phuong-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-01-24
22/01/2025,Công ty TNHH Đầu tư & Phát triển Bất động sản Hải Đăng,Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBB+,Ổn định,,https://saigonratings.com/gsxh6t-hai_dang-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-01-22
17/01/2025,Công ty Cổ phần Huy Dương Group,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBB-,Ổn định,,https://saigonratings.com/gsxh6t-hdgr-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-01-17
02/01/2025,Công ty Cổ phần Chứng khoán Rồng Việt (VDS),Chứng khoán,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBBB,Ổn định,,https://saigonratings.com/gsxh-rong-viet-2025/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2025-01-02
31/12/2024,Công ty Cổ phần Khu công nghiệp Thành Thành Công (TTC IZ),Cho thuê Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnA,Ổn định,,https://saigonratings.com/gsxh6t-ttc_kcn-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-31
31/12/2024,Công Ty Cổ phần Địa Ốc Phú Long,Phát triển Bất động sản,,Xếp hạng lần đầu,Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/kqxhtn-phu_long-2024/,,,,True,True,Saigon Ratings,2026-09-25 09:03:37,2024-12-31
31/12/2024,Công ty Cổ phần Tập đoàn Sovico,Tập đoàn đa ngành,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/kqxhtn-tap_doan_sovico-2024/,,,,True,True,Saigon Ratings,2026-09-25 09:03:37,2024-12-31
31/12/2024,Công ty Cổ phần Sovico,Tổng Công ty Đầu tư (IHC),,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/kqxhtn-sovico-2024/,,,,True,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-31
27/12/2024,Công ty Cổ phần Xuất Nhập Khẩu Sài Gòn Xanh,Phát triển Bất động sản,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/gsxh-sgx-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-27
27/12/2024,Công ty Cổ phần Mua bán nợ và Quản lý tài sản HDBank,Dịch vụ mua bán nợ,,Xếp hạng lần đầu,Tổ chức phát hành,,vnBB+,Ổn định,,https://saigonratings.com/kqxhtn-hdamc-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-27
26/12/2024,Công Ty Cổ phần Hàng Không VIETJET (VIETJET AIR),Hàng không,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/gsxh6t-vjc-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-26
21/12/2024,Công ty TNHH Năng lượng tái tạo,Năng lượng,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/kqxhtn-re-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-21
16/12/2024,Công ty Cổ phần Tập đoàn Khải Hoàn Land,Dịch vụ - Phát triển Bất động sản,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBBB-,Ổn định,,https://saigonratings.com/gsxh-khai_hoan_land-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-16
13/12/2024,Công ty Cổ phần Tập đoàn Đầu tư I.P.A,Tổng Công ty Đầu tư (IHC),,Giám sát Xếp hạng,Tổ chức phát hành,,vnBBB+,Ổn định,,https://saigonratings.com/gsxh6t-ipa-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-13
12/12/2024,Công ty Cổ phần Thuận Đức,Bao bì,,Giám sát Xếp hạng,Tổ chức phát hành,,vnBBB,Ổn định,,https://saigonratings.com/gsxh-thuan-duc-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-12-12
30/11/2024,Công ty Cổ phần Du lịch Thành Thành Công,Dịch vụ Khách sạn - Nhà hàng - Giải trí,,Giám sát Xếp hạng (hết hạn),Tổ chức phát hành,,vnBBB+,Ổn định,,https://saigonratings.com/gsxh6t-ttcdl-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-11-30
28/11/2024,Công ty Cổ phần Rox Key Holdings,Dịch vụ chuyên biệt,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,vnA-,Ổn định,,https://saigonratings.com/kqxhtn-rox_key_holdings-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-11-28
25/11/2024,Công Ty TNHH Dịch Vụ Thương Mại Tổng Hợp An Thịnh,Phát triển Bất động sản,,Xếp hạng lần đầu,Tổ chức phát hành,,vnBB,Ổn định,,https://saigonratings.com/kqxhtn-an_thinh-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-11-25
25/11/2024,Công Ty Cổ Phần Đầu Tư Và Phát Triển Newco,Phát triển Bất động sản,,Xếp hạng lần đầu,Tổ chức phát hành,,vnBB-,Ổn định,,https://saigonratings.com/kqxhtn-newco-2024/,,,,False,False,Saigon Ratings,2026-09-25 09:03:37,2024-11-25
12/11/2024,Công ty Cổ phần Xuất Nhập Khẩu Sài Gòn Xanh,Phát triển Bất động sản,,Xếp hạng lần đầu (hết hạn),Tổ chức phát hành,,Bảo mật,Bảo mật,,https://saigonratings.com/kqxhtn-saigonxanh-2024/,,,,True,False,Saigon Ratings,2026-09-25 09:03:37,2024-11-12
