ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,trang_thai_xep_hang,loai_y_kien,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
10/01/2025,Công Ty TNHH Đảo Ngọc Xanh Kỳ Sơn,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-dao-ngoc-xanh-ky-son-id1933320.html,1933320,FiinRatings,2026-09-25 14:05:53,2025-01-10
31/12/2024,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/tong-cong-ty-co-phan-daa-tu-phat-trien-xay-dung-id2623.html,2623,FiinRatings,2026-09-25 14:05:53,2024-12-31
27/12/2024,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,3658,FiinRatings,2026-09-25 14:05:53,2024-12-27
27/12/2024,Công ty Cổ phần Chứng khoán Tiên Phong,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-tien-phong-id3542.html,3542,FiinRatings,2026-09-25 14:05:53,2024-12-27
27/12/2024,Công ty TNHH Đầu Tư Xây Dựng Thiên Hà - Băng Dương,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-daa-tu-xay-dung-thien-ha---bang-duong-id1287041.html,1287041,FiinRatings,2026-09-25 14:05:53,2024-12-27
24/12/2024,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,3842,FiinRatings,2026-09-25 14:05:53,2024-12-24
09/12/2024,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,4062,FiinRatings,2026-09-25 14:05:53,2024-12-09
06/12/2024,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,3101,FiinRatings,2026-09-25 14:05:53,2024-12-06
04/12/2024,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,Nước và tiện ích,XHTN Lần đầu,XHTN Công cụ nợ,AAA,Ổn định,HBXCH2444001,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,1881003,FiinRatings,2026-09-25 14:05:53,2024-12-04
30/11/2024,Công ty TNHH Dịch vụ Du lịch Cáp treo Fansipan Sa Pa,Du lịch và Giải trí,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-dich-vu-da-lich-cap-treo-fansipan-sa-pa-id8454.html,8454,FiinRatings,2026-09-25 14:05:53,2024-11-30
19/11/2024,Công ty Cổ phần Nước Biwase - Long An,Nước và tiện ích,XHTN Lần đầu,XHTN Công cụ nợ,AAA,Ổn định,BWLCH2434001,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nuoc-biwase---long-an-id7305.html,7305,FiinRatings,2026-09-25 14:05:53,2024-11-19
17/11/2024,Công ty TNHH Hoàng Trúc My,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-hoang-truc-my-id1958231.html,1958231,FiinRatings,2026-09-25 14:05:53,2024-11-17
13/11/2024,Công ty TNHH Nước sạch Hòa Bình - Xuân Mai,Nước và tiện ích,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-nuoc-sạch-hoa-binh---xaan-mai-id1881003.html,1881003,FiinRatings,2026-09-25 14:05:53,2024-11-13
30/10/2024,Công ty Cổ phần Dịch vụ Quản lý Tài sản Việt Nam,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dich-vu-qaan-ly-tai-san-viet-naa-id143597.html,143597,FiinRatings,2026-09-25 14:05:53,2024-10-30
30/10/2024,Công ty Cổ phần Dịch vụ Quản lý Tài sản Việt Nam,Bất động sản,XHTN Lần đầu,XHTN Công cụ nợ,BB-,Ổn định,VPMCH2431001,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dich-vu-qaan-ly-tai-san-viet-naa-id143597.html,143597,FiinRatings,2026-09-25 14:05:53,2024-10-30
25/10/2024,Công ty Cổ phần Nước Biwase - Long An,Nước và tiện ích,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-nuoc-biwase---long-an-id7305.html,7305,FiinRatings,2026-09-25 14:05:53,2024-10-25
25/10/2024,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-naa-long-id3448.html,3448,FiinRatings,2026-09-25 14:05:53,2024-10-25
21/10/2024,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2024-10-21
12/10/2024,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2024-10-12
01/10/2024,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-bac-a-id3422.html,3422,FiinRatings,2026-09-25 14:05:53,2024-10-01
27/09/2024,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,2564,FiinRatings,2026-09-25 14:05:53,2024-09-27
10/09/2024,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,XHTN Lần đầu,XHTN Tổ chức phát hành,AA+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-a-chaa-id2739.html,2739,FiinRatings,2026-09-25 14:05:53,2024-09-10
28/08/2024,Công ty Cổ phần Tập đoàn Hà Đô,Đa ngành,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-ha-do-id3116.html,3116,FiinRatings,2026-09-25 14:05:53,2024-08-28
02/08/2024,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,3842,FiinRatings,2026-09-25 14:05:53,2024-08-02
12/07/2024,Công ty Cổ phần Đầu tư và Du lịch Vạn Hương,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-da-lich-vạn-huong-id10968.html,10968,FiinRatings,2026-09-25 14:05:53,2024-07-12
10/07/2024,Công Ty TNHH Đảo Ngọc Xanh Kỳ Sơn,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,B-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-dao-ngoc-xanh-ky-son-id1933320.html,1933320,FiinRatings,2026-09-25 14:05:53,2024-07-10
30/06/2024,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-xay-dung-id3325.html,3325,FiinRatings,2026-09-25 14:05:53,2024-06-30
27/06/2024,Công ty TNHH Đầu Tư Xây Dựng Thiên Hà - Băng Dương,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-daa-tu-xay-dung-thien-ha---bang-duong-id1287041.html,1287041,FiinRatings,2026-09-25 14:05:53,2024-06-27
26/06/2024,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,3658,FiinRatings,2026-09-25 14:05:53,2024-06-26
24/06/2024,Công ty Cổ phần Phát Triển Tổng Hợp Hưng Thịnh Phát,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-tong-hop-hung-thinh-phat-id985517.html,985517,FiinRatings,2026-09-25 14:05:53,2024-06-24
20/06/2024,Công ty Tài chính Tín dụng Tiêu dùng Trách nhiệm Hữu hạn MB Shinsei,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-tin-dung-tiea-dung-trach-nhiea-hữa-hạn-mb-shinsei-id6949.html,6949,FiinRatings,2026-09-25 14:05:53,2024-06-20
03/06/2024,Công ty Cổ Phần Dk Enc Việt Nam,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dk-enc-viet-naa-id992980.html,992980,FiinRatings,2026-09-25 14:05:53,2024-06-03
24/05/2024,Công ty Cổ phần Chứng khoán Tiên Phong,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-tien-phong-id3542.html,3542,FiinRatings,2026-09-25 14:05:53,2024-05-24
23/05/2024,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2024-05-23
17/05/2024,Công ty TNHH Hoàng Trúc My,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-hoang-truc-my-id1958231.html,1958231,FiinRatings,2026-09-25 14:05:53,2024-05-17
29/04/2024,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2024-04-29
25/04/2024,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-naa-long-id3448.html,3448,FiinRatings,2026-09-25 14:05:53,2024-04-25
12/04/2024,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Tích cực,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,4062,FiinRatings,2026-09-25 14:05:53,2024-04-12
01/04/2024,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-bac-a-id3422.html,3422,FiinRatings,2026-09-25 14:05:53,2024-04-01
29/03/2024,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,3101,FiinRatings,2026-09-25 14:05:53,2024-03-29
28/02/2024,Công ty Cổ phần Tập đoàn Hà Đô,Đa ngành,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-ha-do-id3116.html,3116,FiinRatings,2026-09-25 14:05:53,2024-02-28
01/02/2024,Công ty TNHH Hoàng Trúc My,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-hoang-truc-my-id1958231.html,1958231,FiinRatings,2026-09-25 14:05:53,2024-02-01
31/01/2024,Công ty Cổ phần Điện Gia Lai,Điện,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dien-gia-lai-id2964.html,2964,FiinRatings,2026-09-25 14:05:53,2024-01-31
15/01/2024,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,2564,FiinRatings,2026-09-25 14:05:53,2024-01-15
30/12/2023,Công ty Cổ phần Đầu Tư Và Phát Triển Xây Dựng,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-xay-dung-id3325.html,3325,FiinRatings,2026-09-25 14:05:53,2023-12-30
28/12/2023,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,3658,FiinRatings,2026-09-25 14:05:53,2023-12-28
08/12/2023,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2023-12-08
01/11/2023,Ngân hàng Thương mại Cổ phần Kỹ thương Việt Nam,Ngân hàng,XHTN Lần đầu,XHTN Tổ chức phát hành,A+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-ky-thuong-viet-naa-id3842.html,3842,FiinRatings,2026-09-25 14:05:53,2023-11-01
10/10/2023,Công ty Cổ phần CAMIMEX Group,Thủy sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-camimex-groap-id2482.html,2482,FiinRatings,2026-09-25 14:05:53,2023-10-10
06/10/2023,Công ty Cổ phần Chứng khoán Tiên Phong,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-tien-phong-id3542.html,3542,FiinRatings,2026-09-25 14:05:53,2023-10-06
28/08/2023,Công ty Cổ phần Tập đoàn Hà Đô,Đa ngành,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-ha-do-id3116.html,3116,FiinRatings,2026-09-25 14:05:53,2023-08-28
01/08/2023,Công ty Cổ phần Chứng khoán Rồng Việt,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-rồng-viet-id4078.html,4078,FiinRatings,2026-09-25 14:05:53,2023-08-01
31/07/2023,Công ty Cổ phần Điện Gia Lai,Điện,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-dien-gia-lai-id2964.html,2964,FiinRatings,2026-09-25 14:05:53,2023-07-31
14/07/2023,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2023-07-14
14/06/2023,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,2564,FiinRatings,2026-09-25 14:05:53,2023-06-14
09/06/2023,Công Ty TNHH Khai Thác Chế Biến Khoáng Sản Núi Pháo,Khai khoáng,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-khai-thac-che-bien-khoang-san-nui-phao-id180.html,180,FiinRatings,2026-09-25 14:05:53,2023-06-09
12/05/2023,Công ty Cổ phần Chứng khoán Dầu khí,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-daa-khi-id3658.html,3658,FiinRatings,2026-09-25 14:05:53,2023-05-12
12/04/2023,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2023-04-12
31/03/2023,Công ty Cổ phần CAMIMEX Group,Thủy sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-camimex-groap-id2482.html,2482,FiinRatings,2026-09-25 14:05:53,2023-03-31
17/03/2023,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vietcap-id4089.html,4089,FiinRatings,2026-09-25 14:05:53,2023-03-17
19/01/2023,Công ty Cổ phần Chứng khoán Rồng Việt,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-rồng-viet-id4078.html,4078,FiinRatings,2026-09-25 14:05:53,2023-01-19
04/12/2022,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-kinh-doanh-nha-khang-dien-id3349.html,3349,FiinRatings,2026-09-25 14:05:53,2022-12-04
30/11/2022,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-bat-dong-san-an-gia-id8289.html,8289,FiinRatings,2026-09-25 14:05:53,2022-11-30
23/11/2022,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2022-11-23
21/11/2022,Công ty Cổ phần Chứng khoán MB,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-mb-id3944.html,3944,FiinRatings,2026-09-25 14:05:53,2022-11-21
08/11/2022,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2022-11-08
19/09/2022,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vietcap-id4089.html,4089,FiinRatings,2026-09-25 14:05:53,2022-09-19
28/06/2022,Công ty Cổ phần Tập đoàn Bamboo Capital,Đa ngành,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-baaboo-capital-id2791.html,2791,FiinRatings,2026-09-25 14:05:53,2022-06-28
21/06/2022,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2022-06-21
25/04/2022,Công ty Cổ phần Chứng khoán MB,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-mb-id3944.html,3944,FiinRatings,2026-09-25 14:05:53,2022-04-25
20/04/2022,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2022-04-20
04/04/2022,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-kinh-doanh-nha-khang-dien-id3349.html,3349,FiinRatings,2026-09-25 14:05:53,2022-04-04
29/03/2022,Công ty Cổ phần Đầu tư và Phát triển Bất động sản An Gia,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-bat-dong-san-an-gia-id8289.html,8289,FiinRatings,2026-09-25 14:05:53,2022-03-29
26/01/2022,Công ty Tài chính Tổng hợp cổ phần Tín Việt,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB-,Theo dõi ngắn hạn XHTN: Không thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-tong-hop-co-phan-tin-viet-id2474.html,2474,FiinRatings,2026-09-25 14:05:53,2022-01-26
12/10/2021,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2021-10-12
16/08/2021,Công ty Cổ phần Tập đoàn Bamboo Capital,Đa ngành,XHTN Lần đầu,XHTN Tổ chức phát hành,BB,Tích cực,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-tap-doan-baaboo-capital-id2791.html,2791,FiinRatings,2026-09-25 14:05:53,2021-08-16
19/05/2021,Công ty Tài chính Tổng hợp cổ phần Tín Việt,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BBB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-tong-hop-co-phan-tin-viet-id2474.html,2474,FiinRatings,2026-09-25 14:05:53,2021-05-19
