ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,trang_thai_xep_hang,loai_y_kien,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
29/10/2025,Công ty Cổ phần Chứng khoán Vietcap,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-vietcap-id4089.html,4089,FiinRatings,2026-09-25 14:05:53,2025-10-29
25/10/2025,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-naa-long-id3448.html,3448,FiinRatings,2026-09-25 14:05:53,2025-10-25
25/10/2025,Công ty Tài Chính Trách Nhiệm Hữu Hạn Một Thành Viên Home Credit Việt Nam,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tai-chinh-trach-nhiea-hữa-hạn-mot-thanh-vien-hoae-credit-viet-naa-id593806.html,593806,FiinRatings,2026-09-25 14:05:53,2025-10-25
20/10/2025,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-bat-dong-san-van-phu-id6328.html,6328,FiinRatings,2026-09-25 14:05:53,2025-10-20
11/10/2025,Ngân hàng Thương mại Cổ phần Quốc tế Việt Nam,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-qaoc-te-viet-naa-id4062.html,4062,FiinRatings,2026-09-25 14:05:53,2025-10-11
10/10/2025,Công ty Cổ phần Kinh doanh F88,Dịch vụ tài chính,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-kinh-doanh-f88-id7766.html,7766,FiinRatings,2026-09-25 14:05:53,2025-10-10
08/10/2025,Công Ty TNHH Truyền Dẫn Nước Sạch Xuân Mai - Hà Nội,Nước và tiện ích,Cập nhật kết quả XHTN,XHTN Công cụ nợ,AAA,Ổn định,XMH12501,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-trayen-dan-nuoc-sạch-xaan-mai---ha-noi-id2176657.html,2176657,FiinRatings,2026-09-25 14:05:53,2025-10-08
03/10/2025,Công ty Cổ Phần Phát Triển Tn,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,B,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-phat-trien-tn-id6147.html,6147,FiinRatings,2026-09-25 14:05:53,2025-10-03
02/10/2025,Công Ty TNHH Truyền Dẫn Nước Sạch Xuân Mai - Hà Nội,Nước và tiện ích,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-tnhh-trayen-dan-nuoc-sạch-xaan-mai---ha-noi-id2176657.html,2176657,FiinRatings,2026-09-25 14:05:53,2025-10-02
01/10/2025,Ngân hàng Thương mại Cổ phần Bắc Á,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-bac-a-id3422.html,3422,FiinRatings,2026-09-25 14:05:53,2025-10-01
29/09/2025,Ngân hàng Thương mại Cổ phần Phát Triển Thành phố Hồ Chí Minh,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,A,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-phat-trien-thanh-pho-hồ-chi-minh-id3101.html,3101,FiinRatings,2026-09-25 14:05:53,2025-09-29
25/09/2025,Tập đoàn Vingroup - Công ty CP,Đa ngành,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/tap-doan-vingroap---cong-ty-cp-id4400.html,4400,FiinRatings,2026-09-25 14:05:53,2025-09-25
16/09/2025,Ngân hàng Thương mại Cổ phần Nam Á,Ngân hàng,XHTN Lần đầu,XHTN Tổ chức phát hành,A-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-naa-a-id3362.html,3362,FiinRatings,2026-09-25 14:05:53,2025-09-16
09/09/2025,Ngân hàng Thương mại Cổ phần Á Châu,Ngân hàng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,AA+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-a-chaa-id2739.html,2739,FiinRatings,2026-09-25 14:05:53,2025-09-09
25/08/2025,Công ty Cổ phần Chứng khoán APG,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,BB-,Thuận lợi,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-apg-id2770.html,2770,FiinRatings,2026-09-25 14:05:53,2025-08-25
30/06/2025,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,Bất động sản,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/tong-cong-ty-co-phan-daa-tu-phat-trien-xay-dung-id2623.html,2623,FiinRatings,2026-09-25 14:05:53,2025-06-30
20/06/2025,Công ty Cổ phần Đầu tư và Phát triển Du lịch Phú Quốc,Bất động sản,XHTN Lần đầu,XHTN Tổ chức phát hành,BB-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-daa-tu-va-phat-trien-da-lich-phu-qaoc-id5232.html,5232,FiinRatings,2026-09-25 14:05:53,2025-06-20
18/06/2025,Ngân hàng Thương mại Cổ phần Hàng Hải Việt Nam,Ngân hàng,XHTN Lần đầu,XHTN Tổ chức phát hành,A,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/ngan-hang-thuong-aại-co-phan-hang-hai-viet-naa-id3375.html,3375,FiinRatings,2026-09-25 14:05:53,2025-06-18
16/06/2025,Công ty Cổ Phần Logistics Nông Sản Xuất Khẩu Tây Nguyên,Nông nghiệp,XHTN Lần đầu,XHTN Tổ chức phát hành,B-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-logistics-nong-san-xaat-khaa-tay-ngayen-id1971244.html,1971244,FiinRatings,2026-09-25 14:05:53,2025-06-16
16/06/2025,Công ty Cổ phần Xây dựng Coteccons,Xây dựng,Cập nhật kết quả XHTN,XHTN Tổ chức phát hành,BBB+,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-xay-dung-coteccons-id2564.html,2564,FiinRatings,2026-09-25 14:05:53,2025-06-16
04/06/2025,Công ty Cổ phần Chứng khoán Kỹ Thương,Dịch vụ tài chính,XHTN Lần đầu,XHTN Tổ chức phát hành,AA-,Ổn định,,,,https://fiinratings.vn/vi/ratings-fr/cong-ty-co-phan-chung-khoan-ky-thuong-id3843.html,3843,FiinRatings,2026-09-25 14:05:53,2025-06-04
