ngay_cong_bo,to_chuc_phat_hanh,linh_vuc,loai_hinh,trang_thai_xep_hang,loai_y_kien,ky_han,ket_qua_xep_hang,trien_vong,ma_trai_phieu,bao_cao_vi,bao_cao_en,link_to_chuc_phat_hanh,issuer_id,to_chuc_xhtn,thoi_gian_scrape,ngay_cong_bo_dt
16/06/2026,Công ty TNHH Greenland Phố Hoa,,Doanh nghiệp,Xếp hạng lần đầu,Công cụ nợ,Dài hạn,A,Ổn định,GPH12601,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-16062026.156.html,https://visrating.com/rating-results/report/rating-announcement-16062026.156.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-tnhh-greenland-pho-hoa.48.html,48,VIS Rating,2026-08-13 08:59:18,2026-06-16
16/06/2026,Công ty TNHH Greenland Phố Hoa,,Doanh nghiệp,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,BB-,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-greenland-pho-hoa-16062026.155.html,https://visrating.com/rating-results/report/rating-announcement-greenland-pho-hoa-16062026.155.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-tnhh-greenland-pho-hoa.48.html,48,VIS Rating,2026-08-13 08:59:18,2026-06-16
16/06/2026,Công ty Cổ phần Chứng khoán Thiên Việt,,Định chế tài chính,Giám sát theo dõi,Doanh nghiệp,Dài hạn,A-,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-cp-phan-chung-khoan-thien-viet.36.html,36,VIS Rating,2026-08-13 08:59:18,2026-06-16
11/06/2026,Công ty Tài chính tín dụng tiêu dùng TNHH MB Shinsei,,Định chế tài chính,Kết thúc,Doanh nghiệp,Dài hạn,WR,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-mcredit-11062026.153.html,https://visrating.com/rating-results/report/rating-announcement-mcredit-11062026.153.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-tai-chinh-tin-dung-tieu-dung-tnhh-mb-shinsei.17.html,17,VIS Rating,2026-08-13 08:59:18,2026-06-11
10/06/2026,Công ty Cổ phần TNG Land,,Doanh nghiệp,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,BBB,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-tng-land-10062026.152.html,https://visrating.com/rating-results/report/rating-announcement-tng-land-10062026.152.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tng-land.47.html,47,VIS Rating,2026-08-13 08:59:18,2026-06-10
05/06/2026,Công ty Cổ phần Tổng Công ty Cổ phần Địa ốc Sài Gòn,,Doanh nghiệp,Giám sát theo dõi,Doanh nghiệp,Dài hạn,BBB+,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tong-cong-ty-co-phan-dia-oc-sai-gon.35.html,35,VIS Rating,2026-08-13 08:59:18,2026-06-05
04/06/2026,Công ty Cổ phần Tasco,,Doanh nghiệp,Giám sát theo dõi,Doanh nghiệp,Dài hạn,BBB+,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-tasco.8.html,8,VIS Rating,2026-08-13 08:59:18,2026-06-04
01/06/2026,Công ty Cổ phần Chứng khoán VPBank,,Định chế tài chính,Giám sát theo dõi,Doanh nghiệp,Dài hạn,A,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-chung-khoan-vpbank.23.html,23,VIS Rating,2026-08-13 08:59:18,2026-06-01
25/05/2026,Công ty Cổ phần Vận tải Dầu khí Thái Bình Dương,,Doanh nghiệp,Xếp hạng lần đầu,Doanh nghiệp,Dài hạn,A,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/bao-cao-ket-qua-xep-hang-tin-nhiem-pvtrans-pacific-25052026.146.html,https://visrating.com/rating-results/report/rating-announcement-pvtrans-pacific-25052026.146.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/cong-ty-co-phan-van-tai-dau-khi-thai-binh-duong.43.html,43,VIS Rating,2026-08-13 08:59:18,2026-05-25
22/05/2026,Ngân hàng TMCP Tiên Phong,,Định chế tài chính,Cập nhật,Doanh nghiệp,Dài hạn,AA-,Ổn định,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/bao-cao/202605_tpb_rating_announcement_vn.137.html,https://visrating.com/rating-results/report/202605_tpb_rating_announcement_en.137.html,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-tien-phong.4.html,4,VIS Rating,2026-08-13 08:59:18,2026-05-22
21/05/2026,Ngân hàng TMCP Tiên Phong,,Định chế tài chính,Giám sát theo dõi,Doanh nghiệp,Dài hạn,AA-,Ổn định,,,,https://visrating.com/ket-qua-xep-hang-tin-nhiem/to-chuc/ngan-hang-tmcp-tien-phong.4.html,4,VIS Rating,2026-08-13 08:59:18,2026-05-21
